{'loss': 0.9497, 'grad_norm': 0.7523627281188965, 'learning_rate': 3.989973614775725e-05, 'epoch': 0.5}
{'loss': 0.9531, 'grad_norm': 1.8597990274429321, 'learning_rate': 3.979419525065963e-05, 'epoch': 0.5}
{'loss': 0.9994, 'grad_norm': 1.8387233018875122, 'learning_rate': 3.968865435356201e-05, 'epoch': 0.51}
{'loss': 0.9577, 'grad_norm': 1.6636152267456055, 'learning_rate': 3.958311345646438e-05, 'epoch': 0.51}
{'loss': 0.9972, 'grad_norm': 2.1153080463409424, 'learning_rate': 3.9477572559366755e-05, 'epoch': 0.52}
{'loss': 0.956, 'grad_norm': 0.6359376907348633, 'learning_rate': 3.9372031662269135e-05, 'epoch': 0.52}
{'loss': 0.9559, 'grad_norm': 1.3527811765670776, 'learning_rate': 3.92664907651715e-05, 'epoch': 0.52}
{'loss': 0.9845, 'grad_norm': 2.029110908508301, 'learning_rate': 3.916094986807388e-05, 'epoch': 0.53}
{'loss': 0.9548, 'grad_norm': 1.2480889558792114, 'learning_rate': 3.905540897097626e-05, 'epoch': 0.53}
{'loss': 0.9763, 'grad_norm': 0.4818916320800781, 'learning_rate': 3.894986807387863e-05, 'epoch': 0.54}
{'loss': 0.949, 'grad_norm': 0.6645318269729614, 'learning_rate': 3.8844327176781005e-05, 'epoch': 0.54}
{'loss': 0.9451, 'grad_norm': 1.7267217636108398, 'learning_rate': 3.873878627968338e-05, 'epoch': 0.54}
{'loss': 0.9947, 'grad_norm': 0.6597731709480286, 'learning_rate': 3.863324538258575e-05, 'epoch': 0.55}
{'loss': 0.9629, 'grad_norm': 0.6251762509346008, 'learning_rate': 3.852770448548813e-05, 'epoch': 0.55}
{'loss': 0.9885, 'grad_norm': 0.47248294949531555, 'learning_rate': 3.84221635883905e-05, 'epoch': 0.56}
{'loss': 0.9503, 'grad_norm': 0.592095673084259, 'learning_rate': 3.831662269129288e-05, 'epoch': 0.56}
{'loss': 0.9468, 'grad_norm': 0.793800413608551, 'learning_rate': 3.8211081794195254e-05, 'epoch': 0.56}
{'loss': 1.0067, 'grad_norm': 1.479901671409607, 'learning_rate': 3.810554089709762e-05, 'epoch': 0.57}
{'loss': 0.9539, 'grad_norm': 2.0404727458953857, 'learning_rate': 3.8e-05, 'epoch': 0.57}
{'loss': 1.0162, 'grad_norm': 23.25452995300293, 'learning_rate': 3.7894459102902376e-05, 'epoch': 0.58}
{'loss': 0.9774, 'grad_norm': 0.9247292280197144, 'learning_rate': 3.778891820580475e-05, 'epoch': 0.58}
{'loss': 0.9622, 'grad_norm': 0.9199521541595459, 'learning_rate': 3.7683377308707124e-05, 'epoch': 0.58}
{'loss': 0.9986, 'grad_norm': 0.8617857694625854, 'learning_rate': 3.7577836411609504e-05, 'epoch': 0.59}
